Latitude	Longitude
45.451672	9.175502
45.465867	9.176526
45.431238	9.19984
45.481934	9.183563
45.453616	9.203577
45.463925	9.164378
45.479855	9.171945
45.489436	9.188866
45.451029	9.170047
45.461739	9.18906
45.478069	9.184454
45.452819	9.180431
45.451209	9.17327
45.450626	9.19378
45.454509	9.173297
45.443945	9.17514
45.452953	9.17566
45.448914	9.21846
45.448831	9.199391
45.469622	9.199757
45.463994	9.19475
45.469517	9.21454
45.460064	9.166051
45.468945	9.18103
45.450281	9.146811
45.453756	9.157777
45.467902	9.15516
45.455868	9.204974
45.464012	9.160636
45.450204	9.212034
45.475497	9.21452
45.444407	9.176585
45.444743	9.142703
45.483089	9.230008
45.477902	9.187917
45.484747	9.157073
45.464641	9.209758
45.443669	9.214432
45.481897	9.165122
45.474954	9.194023
45.468141	9.174285
45.444273	9.216313
45.455778	9.174413
45.470868	9.24362
45.460312	9.189187
45.450015	9.202761
45.456755	9.194963
45.449396	9.195237
45.46902	9.185501
45.464289	9.163621
45.488727	9.188781
45.485226	9.162049
45.470198	9.246053
45.456203	9.181541
45.478253	9.145219
45.468945	9.18103
45.483663	9.181869
45.44074	9.175959
45.468945	9.18103
45.447101	9.178166
45.467269	9.15541
45.467208	9.21041
45.455307	9.168288
45.477868	9.175553
45.45044	9.177988
45.448887	9.200226
45.459993	9.190265
45.454369	9.172991
45.471419	9.194412
45.468945	9.18103
45.467122	9.143198
45.452063	9.177606
45.448387	9.168705
45.46639	9.19823
45.48549	9.191276
45.47899	9.181929
45.477547	9.179844
45.451757	9.202765
45.475996	9.184105
45.461776	9.197166
45.436223	9.235169
45.453664	9.158419
45.485022	9.161034
45.467551	9.152122
45.467733	9.152404
45.430893	9.172631
45.453083	9.166555
45.456025	9.181882
45.44143	9.19927
45.481567	9.222374
45.475109	9.213957
45.465579	9.179559
45.474668	9.207077
45.470269	9.182973
45.447594	9.178286
45.459395	9.177702
45.45985	9.181406
45.478215	9.199398
45.47789	9.178962
45.465175	9.196945
45.444465	9.207624
45.456626	9.048364
45.444349	9.141065
45.453099	9.215132
45.468945	9.18103
45.482512	9.187871
45.449647	9.20187
45.457742	9.180223
45.47065	9.26657
45.482763	9.166632
45.484311	9.241956
45.450665	9.170709
45.481173	9.187263
45.450952	9.172059
45.478995	9.160438
45.45113	9.193713
45.486754	9.186709
45.479984	9.170556
45.451318	9.177677
45.49865	9.12236
45.466048	9.180801
45.471788	9.159613
45.456029	9.181862
45.456949	9.154482
45.468945	9.18103
45.451239	9.171201
45.468751	9.15265
45.477688	9.188228
45.48573	9.160107
45.461293	9.191418
45.490605	9.166228
45.488036	9.209874
45.480896	9.185348
45.463211	9.200542
45.487547	9.200901
45.478247	9.175521
45.488631	9.225337
45.461103	9.191945
45.468945	9.18103
45.466271	9.207498
45.462484	9.209055
45.465851	9.199266
45.451909	9.170655
45.462976	9.153861
45.45185	9.204581
45.456427	9.174117
45.453045	9.196452
45.469709	9.185341
45.489229	9.183238
45.453114	9.179885
45.488058	9.228014
45.466586	9.189835
45.455119	9.167723
45.461201	9.162818
45.46705	9.159804
45.456461	9.170594
45.478972	9.19904
45.473517	9.209627
45.446873	9.177032
45.468945	9.18103
45.446404	9.179543
45.472782	9.143057
45.453102	9.180105
45.466792	9.186199
45.479643	9.194558
45.489493	9.167626
45.461107	9.090674
45.448343	9.197995
